	('Cluster: cluster-0', u'Majority Tissue: central_nervous_system', 'number in clust: 1', 'Max Pct: 1.0')	('Cluster: cluster-1', u'Majority Tissue: endometrium', 'number in clust: 14', 'Max Pct: 0.357142857143')	('Cluster: cluster-2', u'Majority Tissue: lung', 'number in clust: 28', 'Max Pct: 0.392857142857')	('Cluster: cluster-3', u'Majority Tissue: haematopoietic_and_lymphoid_tissue', 'number in clust: 36', 'Max Pct: 1.0')	('Cluster: cluster-4', u'Majority Tissue: haematopoietic_and_lymphoid_tissue', 'number in clust: 20', 'Max Pct: 1.0')	('Cluster: cluster-5', u'Majority Tissue: autonomic_ganglia', 'number in clust: 22', 'Max Pct: 0.5')	('Cluster: cluster-6', u'Majority Tissue: breast', 'number in clust: 34', 'Max Pct: 0.852941176471')	('Cluster: cluster-7', u'Majority Tissue: lung', 'number in clust: 76', 'Max Pct: 0.434210526316')	('Cluster: cluster-8', u'Majority Tissue: large_intestine', 'number in clust: 22', 'Max Pct: 0.863636363636')	('Cluster: cluster-9', u'Majority Tissue: lung', 'number in clust: 29', 'Max Pct: 0.241379310345')	('Cluster: cluster-10', u'Majority Tissue: skin', 'number in clust: 31', 'Max Pct: 0.967741935484')	('Cluster: cluster-11', u'Majority Tissue: kidney', 'number in clust: 1', 'Max Pct: 1.0')	('Cluster: cluster-12', u'Majority Tissue: thyroid', 'number in clust: 4', 'Max Pct: 0.5')	('Cluster: cluster-13', u'Majority Tissue: bone', 'number in clust: 9', 'Max Pct: 1.0')	('Cluster: cluster-14', u'Majority Tissue: central_nervous_system', 'number in clust: 2', 'Max Pct: 1.0')	('Cluster: cluster-15', u'Majority Tissue: lung', 'number in clust: 8', 'Max Pct: 0.75')	('Cluster: cluster-16', u'Majority Tissue: upper_aerodigestive_tract', 'number in clust: 46', 'Max Pct: 0.586956521739')	('Cluster: cluster-17', u'Majority Tissue: endometrium', 'number in clust: 2', 'Max Pct: 0.5')	('Cluster: cluster-18', u'Majority Tissue: liver', 'number in clust: 13', 'Max Pct: 0.846153846154')	('Cluster: cluster-19', u'Majority Tissue: endometrium', 'number in clust: 2', 'Max Pct: 0.5')	('Cluster: cluster-20', u'Majority Tissue: stomach', 'number in clust: 4', 'Max Pct: 0.75')	('Cluster: cluster-21', u'Majority Tissue: central_nervous_system', 'number in clust: 78', 'Max Pct: 0.666666666667')	('Cluster: cluster-22', u'Majority Tissue: haematopoietic_and_lymphoid_tissue', 'number in clust: 10', 'Max Pct: 1.0')	('Cluster: cluster-23', u'Majority Tissue: pancreas', 'number in clust: 4', 'Max Pct: 0.75')	('Cluster: cluster-24', u'Majority Tissue: haematopoietic_and_lymphoid_tissue', 'number in clust: 26', 'Max Pct: 1.0')	('Cluster: cluster-25', u'Majority Tissue: haematopoietic_and_lymphoid_tissue', 'number in clust: 30', 'Max Pct: 1.0')	('Cluster: cluster-26', u'Majority Tissue: bone', 'number in clust: 41', 'Max Pct: 0.19512195122')	('Cluster: cluster-27', u'Majority Tissue: kidney', 'number in clust: 35', 'Max Pct: 0.885714285714')	('Cluster: cluster-28', u'Majority Tissue: pancreas', 'number in clust: 1', 'Max Pct: 1.0')	('Cluster: cluster-29', u'Majority Tissue: lung', 'number in clust: 41', 'Max Pct: 0.390243902439')	('Cluster: cluster-30', u'Majority Tissue: breast', 'number in clust: 2', 'Max Pct: 0.5')	('Cluster: cluster-31', u'Majority Tissue: lung', 'number in clust: 36', 'Max Pct: 0.916666666667')	('Cluster: cluster-32', u'Majority Tissue: central_nervous_system', 'number in clust: 33', 'Max Pct: 0.151515151515')	('Cluster: cluster-33', u'Majority Tissue: autonomic_ganglia', 'number in clust: 2', 'Max Pct: 1.0')	('Cluster: cluster-34', u'Majority Tissue: large_intestine', 'number in clust: 1', 'Max Pct: 1.0')	('Cluster: cluster-35', u'Majority Tissue: haematopoietic_and_lymphoid_tissue', 'number in clust: 17', 'Max Pct: 1.0')	('Cluster: cluster-36', u'Majority Tissue: lung', 'number in clust: 58', 'Max Pct: 0.362068965517')	('Cluster: cluster-37', u'Majority Tissue: pleura', 'number in clust: 1', 'Max Pct: 1.0')	('Cluster: cluster-38', u'Majority Tissue: soft_tissue', 'number in clust: 3', 'Max Pct: 1.0')	('Cluster: cluster-39', u'Majority Tissue: ovary', 'number in clust: 35', 'Max Pct: 0.6')	('Cluster: cluster-40', u'Majority Tissue: lung', 'number in clust: 3', 'Max Pct: 1.0')	('Cluster: cluster-41', u'Majority Tissue: haematopoietic_and_lymphoid_tissue', 'number in clust: 1', 'Max Pct: 1.0')	('Cluster: cluster-42', u'Majority Tissue: central_nervous_system', 'number in clust: 1', 'Max Pct: 1.0')	('Cluster: cluster-43', u'Majority Tissue: large_intestine', 'number in clust: 42', 'Max Pct: 0.5')	('Cluster: cluster-44', u'Majority Tissue: breast', 'number in clust: 1', 'Max Pct: 1.0')	('Cluster: cluster-45', u'Majority Tissue: stomach', 'number in clust: 1', 'Max Pct: 1.0')	('Cluster: cluster-46', u'Majority Tissue: skin', 'number in clust: 19', 'Max Pct: 0.894736842105')	('Cluster: cluster-47', u'Majority Tissue: haematopoietic_and_lymphoid_tissue', 'number in clust: 34', 'Max Pct: 1.0')	('Cluster: cluster-48', u'Majority Tissue: lung', 'number in clust: 2', 'Max Pct: 1.0')	('Cluster: cluster-49', u'Majority Tissue: lung', 'number in clust: 75', 'Max Pct: 0.413333333333')
EPCAM	-0.99745757077	0.281333673308	1.19226443155	-0.903269093393	-0.382334173391	-0.682054792726	1.19226443155	0.0491384659926	1.19226443155	-0.48478182281	-1.07896197867	1.13509447191	-1.00872533219	-0.948744037133	-1.14411967747	1.19226443155	1.06258842912	-1.06278697697	0.73210777547	-0.550287770747	1.19226443155	-0.979345489188	-0.741991645307	1.19226443155	-0.875450851639	-0.175673688436	-1.02431007432	-0.18017351543	-1.0965988712	0.00914961917687	1.19226443155	1.19226443155	-0.837806345497	-0.630900128655	1.19226443155	-1.10402822383	1.19226443155	-1.17720529862	-0.901355503499	1.19226443155	1.19226443155	-1.18825341054	-0.939187764221	1.19226443155	1.19226443155	0.952987248645	-1.14564615392	-1.0571803978	1.19226443155	1.19226443155
MAL2	-1.05656124358	0.898254332842	1.244535853	-0.962844506797	-0.984490302171	-0.658824864032	1.3108592269	0.131756539923	1.3108592269	-0.885305278408	-0.859095385057	1.19273585288	-0.266011172653	-0.94928634102	-1.0054732179	0.992494509677	1.26970391884	-0.926650519847	0.730010607502	-0.866853384776	1.27694658044	-0.893428828852	-0.955276876906	0.264709349028	-0.908433631109	-0.681704356041	-0.933526240906	0.78541865756	-0.906676367578	-0.301388787697	1.3108592269	1.04721613623	-0.691765790958	-1.03513023374	1.3108592269	-0.996030910289	1.3108592269	-1.07327145725	-0.997154899406	1.26471823275	1.23922011346	-1.0366883681	-0.804387215964	1.3108592269	1.23896762772	0.0899229565405	-0.902157089548	-0.969527607303	0.66531902123	1.3108592269
KRT19	-1.0215331629	0.455807099388	1.14019295762	-1.07965856044	-0.979593445586	-0.824157068605	1.24200980664	0.748125342893	1.24200980664	-0.944769444559	-1.05974247283	1.24200980664	0.210710497312	-1.03588366521	-0.964529370363	0.497070074017	0.744087069374	-1.17177576272	0.866107391464	0.179706167139	1.24200980664	-0.949278114059	-1.07648746021	1.24200980664	-1.06586368551	-1.09980830013	0.285163316858	0.65784844641	1.24200980664	0.076418094737	1.24200980664	0.5212710971	-0.38506146996	-0.979146645291	1.24200980664	-1.08070443479	1.24200980664	-1.0969578827	-1.11561375605	1.24200980664	1.24200980664	-1.16966790554	-1.13437930713	1.24200980664	-0.708610326902	0.778993700967	-1.07541145051	-1.05676899606	-0.232226053576	1.24200980664
SRGN	1.21618257054	-0.222637106304	-0.723973858037	0.736144670809	1.60354244181	-0.850475762835	-0.81813670708	0.794958947753	-0.949254059859	-0.646390976515	0.120999632974	-0.941564591801	1.56189814081	-0.559784186694	-0.898565084949	-0.977174959395	-0.487704622591	-0.999154484134	-0.557644371284	0.675747969628	-0.786927792467	0.405055479165	1.63057975709	-0.83034110764	1.63057975709	1.63057975709	1.48034003361	-0.27870839983	1.63057975709	0.00353249488497	-0.39663803786	-0.942949710138	1.12295779673	-0.985565089452	-0.832845449664	0.949352480183	0.0754058417843	1.63057975709	-0.967783453928	-0.451885648015	-0.942697142317	1.63057975709	-0.961058098864	-0.917211280127	-0.886024022022	-1.02272372086	0.515442577587	1.21533893096	-0.950410620499	-0.474148206575
DSP	-1.60986219259	0.804590755189	1.07407087168	-1.2693164877	-1.3115017322	-0.893556638393	1.02546749826	0.342005320891	1.07407087168	-0.156404210611	-0.432612545869	0.785848892157	-0.177028302933	-0.519929493075	-0.467763161054	1.07407087168	1.07407087168	-1.04079414045	1.07407087168	-0.232691362155	1.07407087168	-0.829773065637	-1.33626813524	0.891348470317	-1.19596800533	-0.827041596278	0.753822297063	0.224831873656	0.22980575444	0.0846143209683	1.07407087168	0.964332703606	-0.619323937978	-1.3709891844	1.01398260167	-1.35253219189	1.07407087168	-1.3547892395	-1.37329523332	1.07407087168	1.07407087168	-1.39423056822	-1.14684400694	1.07407087168	1.07407087168	0.939911976165	-0.722177706058	-1.29302077078	1.04209181303	0.936209171049
MYOF	0.965820554522	0.952102566041	0.720119211697	-1.30176752839	-1.39017709228	-1.25386554657	0.298086152046	0.996670852753	0.635898774129	-0.246506853641	0.215400382955	1.01784186722	0.951170697395	-1.38013477706	1.01784186722	-1.12408471089	1.01784186722	-1.39370661748	-0.05999100492	0.485168873294	0.934233348935	0.84109001255	-1.34023041846	1.01784186722	-0.798336283577	-1.25249308614	1.01784186722	1.00704979964	0.956631082575	0.595066993177	0.910050333708	-1.09681311858	0.916604097544	-1.47383957739	0.785178444274	-1.38246125696	1.01228474652	0.828043927398	-0.412641041714	0.680999667483	-0.82006064374	-1.09532825958	-1.4783794284	0.584523906841	-1.40521865646	-0.472170465789	0.824629688859	-0.646668128204	-1.37900082145	1.01784186722
TGFBI	1.10342161658	0.784615486777	0.355612380938	-1.27294599532	-1.33349192124	-1.00692331625	-0.737025491681	1.10342161658	1.10342161658	-1.09494846453	0.119022127539	1.10342161658	1.10342161658	-1.10998859015	0.529097982078	-0.716858778216	1.10342161658	-1.32207463743	0.897388549403	0.294782898293	0.591096419267	1.10342161658	-1.36819849841	1.00493517429	-0.955319557153	-1.21144671725	1.10342161658	1.10342161658	-0.28381985709	0.363871458361	1.10342161658	-1.05243534249	1.10342161658	-1.27178131277	0.886064182289	-1.27209226683	0.762765366981	0.715728664618	-0.117996806596	-0.252027503467	0.752332036299	-1.21223055039	-1.12647106445	-0.371555497	0.831024673511	-1.42635241513	1.10342161658	-1.30152549125	-1.33453407065	1.02264734614
TM4SF1	1.08374011469	1.15156862529	0.759363744798	-1.33336927422	-0.910040436065	-1.2009702309	0.115873866919	1.03800267543	0.964627608773	-0.100666777543	0.244798818749	1.21774269519	0.832726602607	-1.35240364399	0.598696273603	-0.471401820925	0.807436103959	-1.36645368488	1.04956211953	0.634521840335	0.370523446086	0.595880045986	-1.40947800193	1.21774269519	-1.00347139418	-1.35937745067	0.901904663269	1.02225009303	1.1369241985	0.757099789616	0.00495191610732	-0.657340736359	1.03457610393	-1.45191618393	1.12351871205	-1.38352057165	0.439428904926	0.85434900757	-1.06017077678	0.487080789065	-0.133537397955	-1.43278896862	-1.3602410265	0.492775429733	-1.10975191443	-1.04144319315	0.595596666217	-1.17195853984	-1.40152674303	1.17856521643
AGR2	-0.768484975038	-0.616657431217	0.851023855328	-0.690493960617	-0.745120835428	-0.723085061853	1.90832228353	0.0583865121447	1.98881598838	-0.607974855482	-0.710875895847	0.172612142577	-0.693830612274	-0.740995283683	-0.624477364051	1.65681693358	1.16378654802	-0.75856490089	1.27382671167	-0.747386587376	0.800103856262	-0.636820086842	-0.72134488197	1.98881598838	-0.610207148943	-0.62054934233	-0.706226827794	-0.659277389788	-0.757058585335	-0.39907180927	0.064244541812	0.0373251331947	-0.627243169554	-0.744828601407	1.98881598838	-0.607804293672	1.19269935666	-0.858052138245	-0.756310075705	0.387881366441	1.98881598838	-0.59151230802	-0.767380742341	1.98881598838	-0.550516708979	0.260062937664	-0.717506205322	-0.702804676459	-0.748866029975	1.44015666491
CAV1	1.03152502642	0.989868288774	0.928270734515	-1.1928332319	-1.36544353643	-1.13464147295	-1.00166839252	1.03152502642	-0.67815879093	-0.370861627693	0.759349011858	1.03152502642	1.03152502642	1.03152502642	1.03152502642	-1.16015069484	1.03152502642	-1.43439028894	-0.285959512557	-0.0316905313026	0.872189512467	1.03152502642	-0.412367053287	0.668561535967	-1.38267111424	0.288005082766	1.03152502642	1.03152502642	0.857928460196	0.794188984669	0.684273442436	-1.2893743927	1.03152502642	-1.4574625549	-0.598052236782	-1.15003035312	1.03152502642	1.03152502642	-0.144012019504	0.395147999437	-1.06120942456	-1.5665724555	-1.41984920564	-0.557960246257	-1.35184276854	0.308589866487	1.03152502642	-0.577697190384	-1.39434922042	1.03152502642
